ticker,name,weight,ret_pct,pts,group
A,A,0.0005264026115052268,-11.197130675150769,-0.40425187107449256,other
AAPL,AAPL,0.05904818399719689,-2.281261123285283,-9.2386561147709,mag7
ABBV,ABBV,0.006132658717612712,0.45729462877024396,0.19234112598407244,other
ABNB,ABNB,0.0011060355236052791,-8.653480927889511,-0.6564281147893282,other
ABT,ABT,0.0030120827203133187,-7.760417026842525,-1.6031686492317874,other
ACGL,ACGL,0.0005453620502896764,5.524182319280646,0.20662371903083485,other
ACN,ACN,0.0019733839723250143,-19.380651093291156,-2.6230539106481796,other
ADBE,ADBE,0.0015691694200072684,-25.930090296508546,-2.790622696174201,other
ADI,ADI,0.0026354961087569407,29.491493339065087,5.3307264920793225,other
ADM,ADM,0.0004986833483594216,16.604738632061178,0.5679160828915728,other
ADP,ADP,0.0012763980033947612,-17.810822396098082,-1.5591839160209109,other
ADSK,ADSK,0.0007102728523342573,-23.408784502567116,-1.1403320642604449,other
AEE,AEE,0.00046527146094876945,9.914733233675666,0.31638414013716226,other
AEP,AEP,0.0010760120994663628,14.028109138627354,1.0352459682510924,other
AES,AES,0.00017852306611359584,12.722608071365338,0.15577499383868665,other
AFL,AFL,0.0009082784256734408,4.078720591063312,0.2540798420869983,other
AIG,AIG,0.0006621631558810934,-4.093980165746269,-0.18592509122614373,other
AIZ,AIZ,0.0001713459036310936,-5.54283370925277,-0.06513776194053883,other
AJG,AJG,0.0008364694072407993,-16.261720657348633,-0.9329187361700344,other
AKAM,AKAM,0.00021196072212822706,14.018802020077237,0.203795011831338,other
ALB,ALB,0.0003118522946080755,21.083453590082723,0.45093916168874226,other
ALGN,ALGN,0.00019684051692762545,14.618982078477295,0.19735988684494984,other
ALL,ALL,0.0008238534246195909,1.7270085797183699,0.09758244677376986,other
ALLE,ALLE,0.00020977719552860459,-0.20197435886251114,-0.0029059073954869116,other
AMAT,AMAT,0.004550078047451034,40.59056353883999,12.66692455773793,other
