ticker,name,weight,ret_pct,pts,group
MSFT,MSFT,0.04465619255645926,-22.988353618427084,-68.66188031490734,mag7
AMZN,AMZN,0.034115947859346976,-4.308423918708748,-9.831097468498415,mag7
ORCL,ORCL,0.006437374811225909,-47.11666552049256,-20.286609779656448,oracle
TSLA,TSLA,0.023373951658563024,-7.397911901011389,-11.56558029999033,mag7
AAPL,AAPL,0.05881998603497218,4.105672981587194,16.152338348814197,mag7
AVGO,AVGO,0.02385582421569994,1.0234529760665634,1.6330085206289788,other
PLTR,PLTR,0.004875516230748369,-25.863388416486156,-8.433972104695188,other
LLY,LLY,0.014404662126228752,32.724767191673855,31.528678875726236,other
CRM,CRM,0.002666220108770949,-21.7473113113676,-3.8781776803635983,other
NFLX,NFLX,0.005047547040602168,-34.38261160850079,-11.607678425047073,other
V,V,0.009359770862938974,-5.604055989398682,-3.5082764978209555,other
INTU,INTU,0.0016024807225683262,-44.07057178897391,-4.723540361252603,other
UNH,UNH,0.0039733854861138665,-15.450383002454881,-4.106067479866293,other
JPM,JPM,0.012797021129089432,-0.5453810533454062,-0.4668045333187678,other
AMD,AMD,0.004935879021839326,23.709748564307187,7.82740105805258,other
BX,BX,0.00225549964107025,-27.5573703697627,-4.157255026497672,other
NOW,NOW,0.0016641119756348277,-43.3487651685492,-4.824867688508051,other
BKNG,BKNG,0.0019985164121547223,-24.349216954622488,-3.2547591008153534,other
MA,MA,0.007105814573473388,-7.1927818553392475,-3.4185102865896253,other
IBM,IBM,0.003635832723430936,-7.83521411809176,-1.9053768964923434,other
QCOM,QCOM,0.002308197251649227,-13.675120381918038,-2.1112040449240252,other
TMO,TMO,0.002903513026217965,5.421261488352913,1.0528106411324554,other
ADBE,ADBE,0.0016374060253230185,-26.68745985781361,-2.9227371170838707,other
BSX,BSX,0.0016729432613362908,-23.609542221467507,-2.6417694274735832,other
SPGI,SPGI,0.0019120684149686472,-14.055427273786158,-1.7975195043828027,other
ACN,ACN,0.002019973759926349,-12.672343563074428,-1.7120987024809267,other
CEG,CEG,0.0016156776235947308,-10.29923383148229,-1.11297589960807,other
COF,COF,0.002004132486225117,-1.2074679532129262,-0.16185576494739337,other
PANW,PANW,0.0018174992882751002,-26.971809982284757,-3.2787663740282573,other
KKR,KKR,0.0014171868203796951,-21.876918193897545,-2.0736687322410146,other
BAC,BAC,0.005860712648215832,3.383870126649935,1.32644805232396,other
ISRG,ISRG,0.0027075290825514325,12.704866715301355,2.3007497056389488,other
ABT,ABT,0.002953977818564,-15.424893677241835,-3.0475829880102614,other
WFC,WFC,0.004211516317247191,6.9012100730244,1.9439713802541527,other
AXP,AXP,0.003595228455633492,4.717037739440566,1.1342844411667794,other
UBER,UBER,0.0023212999904555585,-24.60957467586171,-3.8208633794079105,other
DASH,DASH,0.0011492521094016248,-35.18511724118122,-2.7045838080034064,other
CRWD,CRWD,0.0014817837637824535,-20.755332143613714,-2.057030121105086,other
DHR,DHR,0.0022400302306114376,5.815615692824561,0.87131604365224,other
ADP,ADP,0.0013120244121774213,-26.454389915734577,-2.321484550674336,other
COIN,COIN,0.0006988897704022726,-49.22812200014612,-2.3011667150919015,other
APO,APO,0.0010510487914202247,-9.446760989663206,-0.6640976390542989,other
WDAY,WDAY,0.0005565495768328903,-42.753292068110746,-1.591474008198935,other
SCHW,SCHW,0.0025817096698412317,-0.8951177857026038,-0.15456591156633367,other
PYPL,PYPL,0.0005894421938348662,-37.74785433235854,-1.4881942514642534,other
