ticker,name,weight,ret_pct,pts,group
A,A,0.0005108502625654484,-15.797586630797156,-0.5534923509462456,other
AAPL,AAPL,0.05859341582249756,-5.478410316141947,-22.01560528422582,mag7
ABBV,ABBV,0.006303007328718741,0.6001631460668344,0.25944445456145604,other
ABNB,ABNB,0.001231574987545817,-0.8495524176308167,-0.07175931710900338,other
ABT,ABT,0.0029517448410046523,-11.746199259659551,-2.377953914544582,other
ACGL,ACGL,0.000541136707352987,2.066910748764994,0.07671070524022147,other
ACN,ACN,0.0020613210478908506,-17.911140846687534,-2.532189151028255,other
ADBE,ADBE,0.0018177236117774057,-16.360636296563115,-2.0396483375722747,other
ADI,ADI,0.002439751109221794,17.56576947619939,2.9392732353415134,other
ADM,ADM,0.0004956879873913506,12.833939986595766,0.43631049065319805,other
ADP,ADP,0.0013875927269154065,-12.903355050919751,-1.2279817692944999,other
ADSK,ADSK,0.0008564223015712144,-9.552545460525064,-0.5610923377627909,other
AEE,AEE,0.00047504317951711143,9.384291374790266,0.3057467348369492,other
AEP,AEP,0.0011045563938405203,14.10207810977273,1.068312393616453,other
AES,AES,0.00015746054600894728,-4.217274040958829,-0.04554396453498911,other
AFL,AFL,0.000893683143052745,-0.1754399147513408,-0.01075323732315099,other
AIG,AIG,0.0006599989258475378,-6.8173672078343355,-0.3085937833563053,other
AIZ,AIZ,0.00017274003650771536,-6.474164805652216,-0.0767015277776205,other
AJG,AJG,0.0009060139207963366,-11.628907918930054,-0.7226051611963886,other
AKAM,AKAM,0.00022000416432957224,14.547597067909779,0.21950752954224062,other
ALB,ALB,0.0002930971906725739,10.932398673705524,0.21976289800375254,other
ALGN,ALGN,0.00018826198390183656,7.956808717586927,0.10273745555642792,other
ALL,ALL,0.0008399276424752138,2.448853859495559,0.1410691338197949,other
ALLE,ALLE,0.00019880688987975012,-7.926794228155254,-0.10808272177076327,other
AMAT,AMAT,0.004142020523270467,24.77326186751352,7.037569499794706,other
AMCR,AMCR,0.00030739520748138236,2.9024937391823435,0.06119213989370482,other
AMD,AMD,0.004994669122844009,-11.99490212921116,-4.108948413561125,other
AME,AME,0.000794737655066084,5.9720787652360885,0.32551917372762534,other
AMGN,AMGN,0.003055344564747775,11.824320395324506,2.477785120155714,other
AMP,AMP,0.0006573925119855655,-7.73082221135919,-0.34856011933407816,other
AMT,AMT,0.001375947527459037,7.943360563171509,0.7496066064831132,other
AMZN,AMZN,0.035986856755428946,-4.984544497188881,-12.302592793085692,mag7
ANET,ANET,0.002704042113233637,3.1811375792206276,0.5899608057310853,other
AON,AON,0.0011254093021674859,-2.361511204774669,-0.18227527745366676,other
AOS,AOS,0.00015156501163482347,2.98594983114715,0.031039071453497828,other
APA,APA,0.0001821886887670412,30.129560311904456,0.37647961096136207,other
APD,APD,0.0009446963737994457,8.747556016819447,0.5667691950327636,other
APH,APH,0.002546703684738023,-4.799228050133053,-0.8382567530979366,other
APO,APO,0.0009554758341003277,-27.62315521639135,-1.8101736886493132,other
APTV,APTV,0.0002400699244361416,-9.070633951699437,-0.14934911515212104,other
ARE,ARE,0.00013489362763055012,2.042066520466479,0.018892462818343225,other
ATO,ATO,0.00047443220758365524,9.307359425018259,0.3028502291120902,other
