ticker,name,weight,ret_pct,pts,group
A,A,0.0005878870340254987,2.6160861121812706,0.09025613080905324,other
AAPL,AAPL,0.06094678805937404,11.990786031747946,42.887355807289566,mag7
ABBV,ABBV,0.006116087796522566,31.787388946249372,11.409309507536413,other
ABNB,ABNB,0.0012422208788140296,3.2248293511892623,0.23509119147951232,other
ABT,ABT,0.003312390292893954,12.538816151210685,2.4374113692572563,other
ACGL,ACGL,0.0005310356760894851,4.968265541677419,0.15483149004519456,other
ACN,ACN,0.002540184680717968,-21.98540061523215,-3.2774077090858267,other
ADBE,ADBE,0.0022367143205489852,-20.637190423044217,-2.7088932092495854,other
ADI,ADI,0.002027378184438747,30.434090852716047,3.6209780850834585,other
ADM,ADM,0.00041864247028985046,18.943158961122197,0.46540011118670893,other
ADP,ADP,0.001588330216517206,-9.22444850240871,-0.8598288309164356,other
ADSK,ADSK,0.0009625907219694456,0.9170879497602424,0.0518064046037019,other
AEE,AEE,0.00042139101744155153,15.506163090852908,0.38346030724351027,other
AEP,AEP,0.0009446878091800309,29.78957005895313,1.6515181120485871,other
AES,AES,0.00015408006226523657,16.63377877834118,0.15040703887760096,other
AFL,AFL,0.00087768238827234,10.094090097375252,0.5199186009331637,other
AIG,AIG,0.0007047391018134172,19.731851802655108,0.816069239850873,other
AIZ,AIZ,0.0001847914714338208,15.675735138565683,0.16999675649401352,other
AJG,AJG,0.001015303165822214,-5.376883166095769,-0.320373905019865,other
AKAM,AKAM,0.00019163594462741912,-8.562144545926287,-0.09629202541292319,other
ALB,ALB,0.00025447625677412763,69.39440946541708,1.0363406819589434,other
ALGN,ALGN,0.00017280407825540206,-25.104326450984626,-0.25458531920694316,other
ALL,ALL,0.0008315826868282635,10.568195910506773,0.5157474497043765,other
ALLE,ALLE,0.00020912842922917956,24.78612526804227,0.3041953075278942,other
AMAT,AMAT,0.0031102745058352484,58.395401151124695,10.658796274020157,other
AMCR,AMCR,0.0002941552859701072,-8.404764384573793,-0.14508850136711546,other
AMD,AMD,0.005330784069685956,77.53461704239682,24.255907739299946,other
AME,AME,0.0007239210109425631,15.904272304485346,0.6756717778256575,other
AMGN,AMGN,0.002675218804229436,30.347124641251312,4.764393807688246,other
AMP,AMP,0.0006934478176051594,-6.290818332660065,-0.2560069314504079,other
AMT,AMT,0.0012551190467267874,0.3876029185821084,0.02854977917002086,other
AMZN,AMZN,0.037829270691568585,4.8133711946047875,10.685826485860273,mag7
ANET,ANET,0.0025191293166137527,17.210839704982185,2.544387870260101,other
AON,AON,0.0011579515827096988,0.008709441527599004,0.0005918497971865256,other
AOS,AOS,0.00014050778589620686,1.3761551587862852,0.01134745809079211,other
APA,APA,0.00013235052297278595,10.151743793274859,0.07884916616847802,other
APD,APD,0.0008336115179435681,-11.127045780808642,-0.5443451730308468,other
APH,APH,0.0025361060486547337,97.3338368874562,14.486452544285667,other
